                    .;Tschechien;Niederlande;Belgien;Polen;Dänemark;Frankreich;Österreich;Schweiz;Deutschland Exporte
01.01.2022;1223;106;0;164;72;53;197;9;1824
02.01.2022;1242;97;0;176;76;0;191;1;1783
03.01.2022;1235;86;0;175;57;0;249;118;1920
04.01.2022;1215;122;0;263;50;0;145;97;1892
05.01.2022;1192;145;0;69;91;72;66;78;1725
06.01.2022;1151;120;0;221;85;62;41;112;1792
07.01.2022;1156;71;0;198;90;63;85;125;1788
08.01.2022;1157;153;0;205;94;64;146;102;1921
09.01.2022;1171;136;0;205;87;63;130;108;1902
10.01.2022;1137;132;0;205;102;63;265;298;2202
11.01.2022;1079;166;0;202;92;63;329;292;2223
12.01.2022;1105;84;0;244;82;63;321;331;2231
13.01.2022;1222;40;0;240;64;64;324;324;2278
14.01.2022;1110;55;0;209;43;63;293;331;2105
15.01.2022;1151;59;0;214;68;62;57;135;1746
16.01.2022;1139;46;0;214;67;62;41;112;1681
17.01.2022;1088;40;0;214;66;61;228;272;1969
18.01.2022;1121;46;0;263;75;52;302;263;2122
19.01.2022;1108;86;0;276;71;62;332;294;2229
20.01.2022;1132;76;0;350;85;46;348;293;2330
21.01.2022;1160;116;0;328;69;62;336;315;2386
22.01.2022;1183;106;0;309;74;62;285;157;2176
23.01.2022;1183;109;0;309;66;62;199;131;2061
24.01.2022;1161;82;0;327;41;62;324;297;2294
25.01.2022;1153;14;0;280;58;61;335;322;2223
26.01.2022;1146;23;0;265;66;61;314;328;2203
27.01.2022;1152;69;0;217;82;61;353;316;2250
28.01.2022;1140;44;0;269;52;61;251;269;2086
29.01.2022;1200;105;0;177;65;62;179;92;1880
30.01.2022;1188;120;0;177;69;62;133;81;1830
31.01.2022;1184;57;0;176;89;61;184;126;1877
01.02.2022;1100;26;0;54;74;228;275;146;1903
02.02.2022;1102;100;0;53;69;137;326;146;1933
03.02.2022;1124;89;0;69;68;85;344;163;1942
04.02.2022;1173;83;0;69;46;81;343;245;2040
05.02.2022;1162;57;0;59;45;86;292;130;1831
06.02.2022;1149;71;0;59;48;76;228;124;1755
07.02.2022;1082;67;0;69;55;72;247;213;1805
08.02.2022;1141;20;0;69;57;66;347;298;1998
09.02.2022;1167;64;0;69;41;41;347;315;2044
10.02.2022;1216;35;0;69;45;40;344;297;2046
11.02.2022;1186;0;0;69;52;75;310;301;1993
12.02.2022;1172;33;0;69;28;67;280;133;1782
13.02.2022;1168;24;0;68;23;67;277;112;1739
14.02.2022;1172;31;0;66;30;79;334;297;2009
15.02.2022;1083;59;0;58;59;203;356;322;2140
16.02.2022;1235;54;0;54;46;59;338;313;2099
17.02.2022;1235;42;0;89;43;62;343;210;2024
18.02.2022;1193;84;0;51;51;83;301;158;1921
19.02.2022;1189;148;0;49;38;43;210;80;1757
20.02.2022;1191;86;0;49;45;43;199;63;1676
21.02.2022;1195;126;0;46;41;61;227;96;1792
22.02.2022;1203;82;0;45;58;124;274;96;1882
23.02.2022;1111;88;0;62;31;234;273;97;1896
24.02.2022;1026;80;0;22;40;205;251;107;1731
25.02.2022;1086;49;0;66;43;83;133;121;1581
26.02.2022;1232;50;0;96;25;126;42;67;1638
27.02.2022;1101;98;0;122;23;115;31;71;1561
28.02.2022;1171;109;0;145;42;98;159;170;1894
01.03.2022;1258;122;0;101;39;81;173;232;2006
02.03.2022;1325;88;0;59;47;52;152;164;1887
03.03.2022;1266;115;0;8;63;70;136;104;1762
04.03.2022;1259;66;0;30;55;66;154;107;1737
05.03.2022;1322;52;0;30;54;83;51;1;1594
06.03.2022;1316;72;0;31;56;86;79;1;1641
07.03.2022;1312;63;0;41;54;69;236;153;1928
08.03.2022;1294;115;0;30;54;81;255;161;1990
09.03.2022;1318;98;0;24;55;68;285;118;1966
10.03.2022;1336;113;0;30;55;93;242;65;1934
11.03.2022;1396;63;0;46;31;66;308;99;2009
12.03.2022;1363;79;0;30;43;98;264;91;1968
13.03.2022;1338;142;0;30;56;89;206;68;1929
14.03.2022;1390;108;0;22;39;64;325;97;2045
15.03.2022;1215;108;0;121;46;62;330;65;1947
16.03.2022;1294;140;0;133;52;68;282;57;2026
17.03.2022;1374;151;0;128;49;74;283;83;2142
18.03.2022;1256;73;0;66;62;99;339;35;1930
19.03.2022;1243;142;0;76;65;106;303;1;1936
20.03.2022;1237;182;0;61;68;87;272;1;1908
21.03.2022;1274;113;0;80;51;92;362;2;1974
22.03.2022;1321;74;0;77;50;146;337;2;2007
23.03.2022;1218;105;0;52;45;70;321;1;1812
24.03.2022;1167;279;0;45;56;57;253;1;1858
25.03.2022;1214;306;0;37;56;117;282;1;2013
26.03.2022;1190;186;0;51;59;135;258;0;1879
27.03.2022;1247;253;0;53;66;129;261;0;2009
28.03.2022;1252;257;0;57;42;79;258;1;1947
29.03.2022;1321;254;0;16;36;81;244;0;1952
30.03.2022;1378;191;0;20;63;44;193;1;1890
31.03.2022;1298;222;0;22;57;65;177;0;1841
01.04.2022;1227;39;0;57;49;96;264;30;1762
02.04.2022;1315;76;0;50;68;83;186;10;1788
03.04.2022;1313;83;0;65;75;84;258;8;1886
04.04.2022;1285;107;0;46;77;71;350;223;2159
05.04.2022;1281;32;0;84;67;71;360;91;1986
06.04.2022;1326;113;0;31;73;70;351;61;2025
07.04.2022;1183;150;0;109;92;54;274;2;1864
08.04.2022;1118;94;0;137;78;66;223;1;1717
09.04.2022;1177;62;0;112;84;74;136;1;1646
10.04.2022;1186;45;0;115;90;74;166;1;1677
11.04.2022;1178;35;0;215;101;66;320;88;2003
12.04.2022;1350;29;0;261;103;62;335;81;2221
13.04.2022;1306;116;0;225;85;62;351;44;2189
14.04.2022;1303;114;0;119;74;61;335;61;2067
15.04.2022;1308;127;0;157;83;58;308;9;2050
16.04.2022;1302;111;0;153;89;68;239;0;1962
17.04.2022;1315;91;0;153;109;55;239;0;1962
18.04.2022;1309;128;0;153;108;60;275;0;2033
19.04.2022;1342;97;0;204;84;62;331;115;2235
20.04.2022;1360;12;0;193;66;63;319;320;2333
21.04.2022;1364;32;0;238;52;61;306;239;2292
22.04.2022;1355;49;0;215;50;61;314;263;2307
23.04.2022;1451;56;0;216;63;62;327;190;2365
24.04.2022;1434;103;0;210;63;84;328;78;2300
25.04.2022;1330;240;0;210;45;116;322;83;2346
26.04.2022;1339;97;0;83;42;66;297;208;2132
27.04.2022;1340;32;0;334;45;58;314;27;2150
28.04.2022;1293;61;0;348;81;57;278;14;2132
29.04.2022;1316;101;0;356;95;49;284;0;2201
30.04.2022;1309;91;0;352;94;53;175;0;2074
01.05.2022;1037;96;0;352;106;61;170;0;1822
02.05.2022;1238;24;0;197;98;61;260;0;1878
03.05.2022;1243;39;0;153;78;62;327;0;1902
04.05.2022;1236;15;0;89;0;62;316;0;1718
05.05.2022;1253;0;0;49;49;62;288;0;1701
06.05.2022;1252;151;0;89;83;62;350;150;2137
07.05.2022;1198;113;0;266;87;62;348;22;2096
08.05.2022;1191;87;0;262;97;62;341;35;2075
09.05.2022;1218;104;0;208;114;2;356;175;2177
10.05.2022;1129;165;0;289;135;0;350;284;2352
11.05.2022;1157;76;0;268;136;65;319;340;2361
12.05.2022;1264;68;0;253;133;54;318;342;2432
13.05.2022;1235;44;0;277;128;55;302;309;2350
14.05.2022;1212;53;0;300;132;45;270;1;2013
15.05.2022;1217;56;0;296;127;44;272;3;2015
16.05.2022;1213;126;0;330;93;0;290;39;2091
17.05.2022;1194;134;0;321;116;56;325;54;2200
18.05.2022;1157;29;0;321;121;15;336;51;2030
19.05.2022;1158;36;0;311;107;0;331;331;2274
