                    .;2025;2026;2024;Durchschnittlicher Gasverbrauch 2018-2021;Minimum 2018-2021;Maximum 2018-2021
1;1708;1760;1551;1877;1725;2257
2;1977;2352;2251;2074;1927;2317
3;2310;2059;2161;2028;1937;2125
4;2036;2217;1709;2171;1847;2350
5;1852;2231;1623;2019;1848;2205
6;2094;2170;1609;2206;1959;2628
7;2169;;1534;1966;1863;2068
8;1857;;1580;1904;1774;2216
9;1806;;1659;1976;1716;2297
10;1593;;1620;1835;1662;1956
11;1774;;1500;1844;1734;2053
12;1546;;1510;1802;1656;1995
13;1452;;1334;1634;1543;1718
14;1375;;1249;1635;1494;1814
15;1398;;1215;1578;1248;1979
16;1175;;1447;1423;1286;1676
17;1220;;1576;1403;1318;1627
18;1064;;1152;1419;1293;1584
19;1209;;1216;1372;1183;1527
20;1122;;1134;1401;1255;1459
21;1155;;1149;1296;1170;1400
22;1020;;1138;1243;1152;1307
23;1018;;1195;1267;1220;1322
24;980;;1140;1287;1245;1346
25;966;;1134;1314;1261;1399
26;989;;1060;1306;1245;1363
27;1029;;1056;1276;1215;1307
28;1001;;1059;1311;1255;1389
29;988;;1030;1294;1214;1397
30;1000;;1025;1237;1131;1350
31;944;;1008;1234;1144;1297
32;937;;1002;1219;1122;1334
33;953;;991;1233;1153;1311
34;962;;976;1268;1197;1302
35;1043;;1074;1292;1234;1325
36;1037;;1108;1316;1241;1370
37;1104;;1133;1328;1267;1399
38;982;;1124;1358;1241;1498
39;1237;;1147;1403;1265;1470
40;1322;;1229;1477;1416;1549
41;1427;;1251;1526;1431;1577
42;1530;;1339;1608;1467;1804
43;1359;;1386;1594;1526;1635
44;1408;;1439;1667;1580;1744
45;1643;;1867;1787;1681;1893
46;1580;;1872;1846;1801;1936
47;2029;;1835;1982;1829;2062
48;1985;;1812;2019;1880;2213
49;1956;;1891;2052;1799;2278
50;1711;;2112;2077;1940;2243
51;1809;;1567;1861;1742;1951
52;1711;;1615;1545;1410;1610